ato_bad|unit_weight|radd_timezone_3_2|radd_max_pmt_s_3|SNR1wRtDolDclTxn|max_cross20wRtDclAcc|login_VIDMatch|seg|dollar_weight|ip_asp_spoof_txns|vid_asp_spoof_txns|Intercept|time_window|wSNR1wRtDolDclTxn_s1|wip_asp_spoof_txns_s1|wlogin_VIDMatch_s1|wmax_cross20wRtDclAcc_s1|wradd_max_pmt_s_3_s1|wradd_timezone_3_2_s1|wvid_asp_spoof_txns_s1|new_score|align_new_score|wSNR1wRtDolDclTxn_s2|wip_asp_spoof_txns_s2|wlogin_VIDMatch_s2|wmax_cross20wRtDclAcc_s2|wradd_max_pmt_s_3_s2|wradd_timezone_3_2_s2
0|2||518.31|0.0655|0.5|1|1|1330|0|0|1|DEV|0.089438|-0.119505|-0.134574|0.316717|-0.203081|-0.199666|-0.090233|8.6440900629|347||||||
0|500||618.66|0|0.0297|0|2|13000|0|0|1|DEV|-0.105449|-0.119505|0.209014|-0.176481|-0.203081|-0.199666|-0.090233|8.8221594714|337||||||
0|25|9999|572.54|0|0.035|0|1|50|0|0|1|DEV|-0.105449|-0.119505|0.209014|-0.098116|-0.203081|0.394738|-0.090233|8.2759243772|368||||||
0|100||173.37|0.0655|0.0082|1|1|28000|0|0|1|DEV|0.089438|-0.119505|-0.134574|-1.021755|0.043156|-0.199666|-0.090233|9.3886318022|304||||||
0|100||312.84|0|0.0297|1|1|2200|0|0|1|DEV|-0.105449|-0.119505|-0.134574|-0.176481|-0.203081|-0.199666|-0.090233|9.1452941622|318||||||
1|1|800|252.13|0|0.0851|0|2|1000|0|0|1|DEV|-0.105449|-0.119505|0.209014|0.316717|-0.203081|0.956686|-0.090233|7.502722305|413||||||
0|400||928.49|0|0.0297|0|2|52000|0|0|1|DEV|-0.105449|-0.119505|0.209014|-0.176481|-0.203081|-0.199666|-0.090233|8.8221594714|337||||||
0|25||452.99|0|0.0615|1|1|4475|52069.5|0|1|DEV|-0.105449|0.841029|-0.134574|-0.038997|-0.203081|-0.199666|-0.090233|8.3974310093|361||||||
0|500||30.47|0.0655|0.0366|0|2|4500|0|0|1|DEV|0.089438|-0.119505|0.209014|-0.038997|0.262126|-0.199666|-0.090233|8.0899704868|379||||||
0|100||131.14|0.0655|0.0378|0|2|400|0|0|1|DEV|0.089438|-0.119505|0.209014|-0.038997|0.043156|-0.199666|-0.090233|8.3248735433|365||||||
0|10||71.77|0.0655|0.0667|2|2|500|0|0|1|DEV|0.089438|-0.119505|1.153454|-0.038997|0.043156|-0.199666|-0.090233|7.4366547248|417||||||
0|100|||0.0655|0.0366|2|2|8000|0|0|1|DEV|0.089438|-0.119505|1.153454|-0.038997|0.85329|-0.199666|-0.090233|6.567572418|467||||||
0|2|||0.0655|0.0297|2|2|610|0|0|1|DEV|0.089438|-0.119505|1.153454|-0.176481|0.85329|-0.199666|-0.090233|6.6711827581|461||||||
0|25||143.83|0|0.0297|0|1|1125|0|0|1|DEV|-0.105449|-0.119505|0.209014|-0.176481|0.043156|-0.199666|-0.090233|8.5580053685|352||||||
0|25||115.00|0|0.0366|0|2|125|0|0|1|DEV|-0.105449|-0.119505|0.209014|-0.038997|0.043156|-0.199666|-0.090233|8.4543950283|358||||||
0|2||24.95|0.0655|0.2609|0|1|26|0|0|1|DEV|0.089438|-0.119505|0.209014|0.316717|0.262126|-0.199666|-0.090233|7.8218982128|394||||||
0|10||268.54|0|0.0285|2|2|3230|0|0|1|DEV|-0.105449|-0.119505|1.153454|-0.176481|-0.203081|-0.199666|-0.090233|7.9339406529|388||||||
0|10||125.78|0.0655|0.1667|2|2|1220|0|0|1|DEV|0.089438|-0.119505|1.153454|0.316717|0.043156|-0.199666|-0.090233|7.1685824507|432||||||
0|2||32.10|0.0655|0.1786|0|1|2946|0|0|1|DEV|0.089438|-0.119505|0.209014|0.316717|0.262126|-0.199666|-0.090233|7.8218982128|394||||||
0|10||31.41|0|0.0678|1|1|40|1984.4138|0|1|DEV|-0.105449|1.659303|-0.134574|-0.038997|0.262126|-0.199666|-0.090233|7.349538175|422||||||
2|10|||0.0655|0.0606|2|2|260|4386.6667|0|1|DEV|0.089438|1.415797|1.153454|-0.038997|0.85329|-0.199666|-0.090233|5.5378091488|526||||||
0|25||89.98|0|0.1|1|1|75|0|0|1|DEV|-0.105449|-0.119505|-0.134574|0.316717|0.043156|-0.199666|-0.090233|8.5094574451|355||||||
1|1||25.00|0|0.9231|0|2|44|5683.5|0|1|DEV|-0.105449|1.415797|0.209014|0.932663|0.262126|-0.199666|-0.090233|6.457468781|473||||||
0|10||329.93|0|0.0366|2|2|300|0|0|1|DEV|-0.105449|-0.119505|1.153454|-0.038997|-0.203081|-0.199666|-0.090233|7.8303303128|394||||||
0|100||70.60|0|0.0662|1|1|1900|0|0|1|DEV|-0.105449|-0.119505|-0.134574|-0.038997|0.043156|-0.199666|-0.090233|8.7775297192|339||||||
0|50||40.70|0.0655|0.1058|0|1|800|0|0|1|DEV|0.089438|-0.119505|0.209014|0.316717|0.262126|-0.199666|-0.090233|7.8218982128|394||||||
0|400||565.59|0|0.0621|1|1|14000|0|0|1|DEV|-0.105449|-0.119505|-0.134574|-0.038997|-0.203081|-0.199666|-0.090233|9.0416838221|324||||||
0|50|1000|21.30|0.2504|0.0695|1|1|400|0|0|1|DEV|0.798008|-0.119505|-0.134574|0.316717|0.262126|0.956686|-0.090233|6.7263642387|458||||||
0|10|-700|18.25|0|0.0339|2|2|1650|0|0|1|DEV|-0.105449|-0.119505|1.153454|-0.098116|0.262126|0.355722|-0.090233|6.9206261982|446||||||
0|100|||0.0655|0.0347|2|2|10700|0|0|1|DEV|0.089438|-0.119505|1.153454|-0.098116|0.85329|-0.199666|-0.090233|6.6121255274|464||||||
0|1000||9.95|0.0655|0.0416|0|2|50000|0|0|1|DEV|0.089438|-0.119505|0.209014|-0.038997|0.653211|-0.199666|-0.090233|7.6704287148|403||||||
0|200||84.68|0|0.0321|1|1|5800|0|0|1|DEV|-0.105449|-0.119505|-0.134574|-0.098116|0.043156|-0.199666|-0.090233|8.8220828286|337||||||
0|400||149.96|0.0655|0.0476|1|1|12400|0|0|1|DEV|0.089438|-0.119505|-0.134574|-0.038997|0.043156|-0.199666|-0.090233|8.6480082341|347||||||
0|25||181.29|0|0.0521|1|1|2100|0|0|1|DEV|-0.105449|-0.119505|-0.134574|-0.038997|0.043156|-0.199666|-0.090233|8.7775297192|339||||||
0|50|||0|0.0548|2|2|1550|0|0|1|DEV|-0.105449|-0.119505|1.153454|-0.038997|0.85329|-0.199666|-0.090233|6.6970939031|459||||||
1|1|800|677.40|0.0655|0.0366|0|2|80|0|0|1|DEV|0.089438|-0.119505|0.209014|-0.038997|-0.203081|0.956686|-0.090233|7.641273094|405||||||
0|2|||0.0655|0.0297|2|2|78|0|0|1|DEV|0.089438|-0.119505|1.153454|-0.176481|0.85329|-0.199666|-0.090233|6.6711827581|461||||||
0|2||36.17|0.0655|0.0297|1|1|18|0|0|1|DEV|0.089438|-0.119505|-0.134574|-0.176481|0.262126|-0.199666|-0.090233|8.5167155178|354||||||
0|100||550.62|0.0655|0.5|0|2|7800|0|0|1|DEV|0.089438|-0.119505|0.209014|0.316717|-0.203081|-0.199666|-0.090233|8.3209553721|366||||||
0|50|||0|0.0366|2|2|950|0|0|1|DEV|-0.105449|-0.119505|1.153454|-0.038997|0.85329|-0.199666|-0.090233|6.6970939031|459||||||
